inpNum,repNum,Vf_IQR,Vf_Mdn,nFC,nMRC,FCp,MRCp,av_FCa,av_MRCa,max_FC,max_MRC,Stiffness,Strength,UM
807,17,0.30393336141929,0.529565029416063,0.012987012987013,0.012987012987013,0.01387267491865,0.653137072776155,46.1225090607069,2171.48608567938,46.1225090607069,2171.48608567938,11474.5548312223,53.7009166101204,50
808,34,0.135178052528129,0.68545254606779,0.03,0.01,0.361819647511364,0.0388963472569992,298.113465524644,96.1434097633116,560.583944819584,96.1434097633116,18120.7082428052,60.8855796958257,50
809,36,0.218018992976025,0.667333959361779,0.0315789473684211,0.0526315789473684,0.138360519938971,0.351963948169858,137.399208357286,209.711128016175,274.696803388127,401.377931089953,15673.5964093409,60.186610211869,50
810,31,0.181486966726661,0.654353678469199,0.0202020202020202,0.0404040404040404,0.179092027078215,0.254597486277555,261.946562541086,186.191807223447,364.661849831805,575.980682015681,15615.302365061,56.2150885142196,50
811,31,0.194666197777544,0.676151140485572,0.0309278350515464,0.0206185567010309,0.241791138956002,0.264102508530824,236.249688770211,387.074578373152,380.311146091815,710.153296160147,15800.4846289039,54.9856865085856,50
812,32,0.16680500515775,0.723120549541843,0.0103092783505155,0.0309278350515464,0.515702790964149,0.175759603824832,1334.15907330637,151.567449489807,1334.15907330637,345.482044059781,17646.6627021788,57.0872632416187,50
813,46,0.202496561286692,0.690887892006704,0.0168067226890756,0.0336134453781513,0.318049236910509,0.347866151127982,523.235419717107,286.144204210178,695.774949133916,504.689003958875,15798.6703594575,58.7710537371819,50
814,20,0.245201393226152,0.63977547290573,0.0106382978723404,0.0425531914893617,0.126058695348736,0.491827878035374,404.704648658218,394.746724987858,404.704648658218,1192.54948695832,13601.0019432328,48.963606995638,50
815,38,0.271231364800162,0.582635903702611,0.0285714285714286,0.0285714285714286,0.0638732045367559,0.475800021415403,82.1084699237936,611.636945906569,98.9478775324278,774.551542408941,12874.6989612293,58.7086272632057,50
816,36,0.187370778461102,0.709126586470935,0.0106382978723404,0.0319148936170213,0.477458449661964,0.0917923769514671,1245.23243360515,79.7995057780087,1245.23243360515,125.128669913595,16633.764484933,59.8420605153072,50
817,7,0.206982218988767,0.621276481082669,0.04,0.05,0.0925295260879803,0.424281576915944,66.9689568435561,245.661646095393,83.8559700048808,1058.73766372956,15016.8404893763,59.4666883379302,50
818,34,0.175268099060445,0.706093734880076,0.0104166666666667,0.0416666666666667,0.34314173219573,0.250473251690859,1040.53532251545,189.882373139169,1040.53532251545,345.355217227202,16458.0810448408,59.2103768372035,50
819,10,0.273991277082121,0.386531380074447,0.0,0.0158730158730159,0.0,0.929958411499276,0.0,3476.13110344988,0.0,3476.13110344988,10287.3559511656,59.2372899849327,50
820,20,0.305962207328146,0.554743038760845,0.0,0.0263157894736842,0.0,0.600989087438837,0.0,968.798214250058,0.0,1730.35266240108,11895.1536396076,54.2419005966106,50
821,10,0.240508679617188,0.644714543856595,0.032258064516129,0.032258064516129,0.103627746972352,0.431012269051365,98.784641441883,410.868649558225,145.141619659681,912.34098900053,14506.6441793552,50.4831217441561,50
822,15,0.251811814225175,0.657852044057194,0.0202020202020202,0.0404040404040404,0.32198661880224,0.437307162687128,496.014180948384,336.831628174495,749.300801959095,1213.26211509678,14495.0503578814,59.139805460156,50
